	Opt.	Zea.	Flo.
X^0	198	196	197
X^1	198	195	198
X^2	198	198	198
X^3	198	198	198
X^4	199	199	199

X^0	199	186	187
X^1	198	190	192
X^2	199	195	197
X^3	199	199	199
X^4	200	200	200

X^0	194	155	164
X^1	194	187	193
X^2	194	194	194
X^3	194	194	194
X^4	195	195	195

X^0	197	194	197
X^1	197	197	197
X^2	199	199	199
X^3	195	195	195
X^4	199	199	199

X^0	198	172	178
X^1	198	174	176
X^2	198	196	198
X^3	198	198	198
X^4	199	199	199

X^0	198	188	194
X^1	198	195	197
X^2	197	197	197
X^3	198	198	198
X^4	199	199	199

X^0	196	187	191
X^1	196	193	196
X^2	196	196	196
X^3	196	196	196
X^4	198	198	198

X^0	197	179	180
X^1	199	191	193
X^2	199	196	197
X^3	197	193	197
X^4	199	199	199

X^0	199	189	190
X^1	199	191	192
X^2	199	197	199
X^3	199	199	199
X^4	197	197	197

X^0	199	197	199
X^1	197	196	197
X^2	199	199	199
X^3	199	199	199
X^4	198	198	198

X^0	197	7	10
X^1	199	29	30
X^2	199	199	199
X^3	199	199	199
X^4	200	200	200

X^0	198	59	61
X^1	197	63	69
X^2	198	198	198
X^3	198	198	198
X^4	199	199	199

X^0	199	197	199
X^1	196	195	196
X^2	199	199	199
X^3	199	199	199
X^4	200	200	200

X^0	198	54	55
X^1	198	57	58
X^2	198	198	198
X^3	199	199	199
X^4	198	198	198

X^0	199	-2999	0
X^1	199	-2985	12
X^2	199	199	199
X^3	200	200	200
X^4	200	200	200

X^0	197	193	195
X^1	197	196	197
X^2	197	197	197
X^3	198	198	198
X^4	198	198	198

X^0	198	191	192
X^1	199	194	198
X^2	197	196	197
X^3	199	199	199
X^4	199	199	199

X^0	197	93	98
X^1	197	94	100
X^2	197	197	197
X^3	197	197	197
X^4	199	199	199

X^0	199	159	160
X^1	199	160	161
X^2	197	157	158
X^3	199	179	185
X^4	200	200	200

X^0	199	14	19
X^1	199	39	44
X^2	198	198	198
X^3	198	198	198
X^4	200	200	200

X^0	197	193	197
X^1	197	196	197
X^2	195	194	195
X^3	199	199	199
X^4	197	197	197

X^0	198	193	196
X^1	198	196	198
X^2	197	197	197
X^3	198	198	198
X^4	196	196	196

X^0	200	159	161
X^1	199	177	180
X^2	200	181	181
X^3	200	182	182
X^4	200	200	200

X^0	196	194	196
X^1	196	192	196
X^2	196	196	196
X^3	196	196	196
X^4	200	200	200

X^0	197	180	184
X^1	197	180	183
X^2	197	197	197
X^3	197	197	197
X^4	200	200	200

X^0	193	192	193
X^1	199	197	198
X^2	200	197	199
X^3	199	199	199
X^4	200	200	200

X^0	199	183	184
X^1	199	193	194
X^2	199	195	199
X^3	200	189	190
X^4	200	200	200

X^0	196	157	158
X^1	198	161	162
X^2	199	199	199
X^3	199	199	199
X^4	199	199	199

X^0	199	183	185
X^1	198	198	198
X^2	199	199	199
X^3	199	199	199
X^4	200	200	200

X^0	193	183	185
X^1	198	189	193
X^2	198	198	198
X^3	198	198	198
X^4	200	200	200

X^0	197	190	192
X^1	200	200	200
X^2	200	200	200
X^3	198	198	198
X^4	199	199	199

X^0	198	193	193
X^1	199	197	199
X^2	197	197	197
X^3	200	200	200
X^4	198	198	198

X^0	200	192	193
X^1	199	194	197
X^2	196	196	196
X^3	200	200	200
X^4	199	199	199

X^0	199	171	173
X^1	199	199	199
X^2	199	199	199
X^3	199	199	199
X^4	199	199	199

X^0	199	163	164
X^1	197	162	163
X^2	199	199	199
X^3	199	199	199
X^4	200	200	200

X^0	200	194	197
X^1	200	196	200
X^2	198	198	198
X^3	197	197	197
X^4	199	199	199

X^0	199	128	131
X^1	199	162	163
X^2	197	160	160
X^3	200	163	163
X^4	200	200	200

X^0	198	198	198
X^1	200	198	200
X^2	197	197	197
