	Opt.	CR	FP
X^0	200	199	199
X^1	200	200	200
X^2	200	200	200
X^3	198	198	198
X^4	198	198	198
X^5	200	200	200

X^0	197	175	176
X^1	200	175	180
X^2	200	183	186
X^3	200	190	190
X^4	199	194	196
X^5	200	200	200

X^0	199	159	160
X^1	198	167	167
X^2	197	169	169
X^3	199	199	199
X^4	200	200	200
X^5	199	199	199

X^0	197	174	179
X^1	196	186	189
X^2	197	196	197
X^3	197	197	197
X^4	199	199	199
X^5	199	199	199

X^0	198	190	195
X^1	198	195	198
X^2	198	196	198
X^3	199	199	199
X^4	197	197	197
X^5	200	200	200

X^0	198	4	7
X^1	198	70	73
X^2	199	70	71
X^3	198	67	68
X^4	198	134	134
X^5	200	200	200

X^0	193	104	105
X^1	200	128	130
X^2	196	141	141
X^3	196	160	161
X^4	200	180	180
X^5	200	200	200

X^0	195	109	112
X^1	198	142	145
X^2	198	164	167
X^3	198	175	178
X^4	198	164	167
X^5	198	198	198

X^0	196	184	187
X^1	198	184	187
X^2	192	185	186
X^3	199	199	199
X^4	200	198	199
X^5	199	199	199

X^0	197	189	191
X^1	196	194	196
X^2	199	199	199
X^3	200	200	200
X^4	197	197	197
X^5	199	199	199

X^0	196	135	135
X^1	196	153	153
X^2	196	145	145
X^3	195	157	158
X^4	200	187	187
X^5	200	200	200

X^0	198	172	173
X^1	198	181	181
X^2	199	191	193
X^3	199	196	196
X^4	200	200	200
X^5	200	200	200

X^0	197	194	195
X^1	196	196	196
X^2	199	199	199
X^3	197	197	197
X^4	200	200	200
X^5	196	196	196

X^0	196	165	172
X^1	196	182	196
X^2	195	181	187
X^3	195	194	195
X^4	195	195	195
X^5	199	199	199

X^0	199	198	199
X^1	199	198	199
X^2	199	198	199
X^3	199	198	199
X^4	199	199	199
X^5	196	196	196

X^0	198	191	195
X^1	198	194	198
X^2	199	196	199
X^3	199	199	199
X^4	199	199	199
X^5	195	195	195

X^0	200	139	145
X^1	200	150	154
X^2	199	160	161
X^3	198	198	198
X^4	200	200	200
X^5	200	200	200

X^0	199	114	117
X^1	199	116	116
X^2	199	123	123
X^3	200	200	200
X^4	200	200	200
X^5	199	199	199

X^0	198	193	197
X^1	198	198	198
X^2	198	198	198
X^3	198	198	198
X^4	200	200	200
X^5	199	199	199

X^0	194	132	136
X^1	196	163	166
X^2	199	169	172
X^3	197	194	197
X^4	197	197	197
X^5	200	200	200

X^0	198	186	186
X^1	198	190	193
X^2	198	194	194
X^3	198	197	198
X^4	200	200	200
X^5	195	195	195

X^0	197	183	187
X^1	197	196	197
X^2	197	197	197
X^3	199	199	199
X^4	199	199	199
X^5	197	197	197

X^0	198	154	163
X^1	199	154	156
X^2	199	157	157
X^3	199	199	199
X^4	200	200	200
X^5	200	200	200

X^0	196	196	196
X^1	197	197	197
X^2	198	198	198
X^3	196	196	196
X^4	196	196	196
X^5	196	196	196

X^0	197	194	197
X^1	198	197	198
X^2	197	197	197
X^3	199	198	199
X^4	197	197	197
X^5	198	198	198

X^0	197	184	184
X^1	197	189	196
X^2	198	194	196
X^3	198	198	198
X^4	200	200	200
X^5	199	199	199

X^0	196	142	144
X^1	196	172	174
X^2	199	174	177
X^3	198	197	198
X^4	198	198	198
X^5	200	200	200

X^0	198	124	127
X^1	196	120	123
X^2	198	144	149
X^3	198	162	165
X^4	198	177	179
X^5	198	198	198

X^0	198	187	187
X^1	199	192	192
X^2	198	193	194
X^3	200	198	198
X^4	200	200	200
X^5	198	198	198

X^0	199	197	198
X^1	199	196	197
X^2	199	199	199
X^3	198	198	198
X^4	196	196	196
X^5	198	198	198

X^0	198	192	192
X^1	198	196	197
X^2	198	197	198
X^3	199	199	199
X^4	200	200	200
X^5	198	198	198

X^0	197	196	197
X^1	194	192	194
X^2	198	196	197
X^3	198	198	198
X^4	199	199	199
X^5	199	199	199

X^0	195	187	194
X^1	195	190	195
X^2	196	188	193
X^3	195	195	195
X^4	195	195	195
X^5	200	200	200

X^0	199	196	197
X^1	199	197	198
X^2	195	194	195
X^3	200	199	199
X^4	198	198	198
X^5	200	200	200

X^0	196	196	196
X^1	197	197	197
X^2	198	198	198
X^3	199	199	199
X^4	199	199	199
X^5	200	200	200

X^0	197	174	176
X^1	199	190	194
X^2	198	190	192
X^3	195	195	195
X^4	198	198	198
X^5	195	195	195

X^0	199	196	198
