	Opt.	CR	FP
X^0	2	38	13
X^1	3	36	13
X^2	5	36	14
X^3	2	31	8
X^4	1	31	9
X^5	2	31	9
X^6	4	32	10
X^7	1	27	8
X^8	3	27	9

X^0	4	139	61
X^1	4	139	60
X^2	4	139	59
X^3	5	128	60
X^4	4	117	61
X^5	4	105	51
X^6	4	66	46
X^7	1	57	46
X^8	4	43	16

X^0	4	150	65
X^1	5	147	64
X^2	3	145	63
X^3	7	148	62
X^4	4	142	60
X^5	5	137	63
X^6	2	132	61
X^7	1	78	63
X^8	4	84	51

X^0	2	27	14
X^1	6	31	18
X^2	6	30	13
X^3	1	23	11
X^4	1	22	11
X^5	2	23	12
X^6	1	22	11
X^7	1	19	9
X^8	1	8	1

X^0	3	50	27
X^1	9	57	33
X^2	2	50	26
X^3	4	52	27
X^4	1	46	23
X^5	0	38	21
X^6	0	30	13
X^7	0	31	10
X^8	0	26	2

X^0	4	31	16
X^1	1	28	13
X^2	2	29	14
X^3	1	22	5
X^4	1	23	7
X^5	1	14	1
X^6	2	9	2
X^7	1	1	1
X^8	3	25	11

X^0	2	137	66
X^1	2	133	67
X^2	2	128	66
X^3	2	124	55
X^4	2	113	59
X^5	2	81	46
X^6	2	59	42
X^7	0	58	51
X^8	0	81	45

X^0	6	272	145
X^1	6	272	145
X^2	6	272	142
X^3	6	240	145
X^4	6	208	121
X^5	6	167	109
X^6	1	117	89
X^7	6	146	89
X^8	1	53	1

X^0	4	35	18
X^1	3	32	17
X^2	3	33	13
X^3	3	30	11
X^4	3	27	13
X^5	2	29	15
X^6	1	16	8
X^7	1	17	13
X^8	2	25	15

X^0	1	127	65
X^1	2	127	66
X^2	1	125	64
X^3	2	125	64
X^4	1	115	52
X^5	1	110	49
X^6	3	109	49
X^7	0	60	49
X^8	2	65	53

X^0	7	56	28
X^1	2	58	30
X^2	1	58	30
X^3	1	56	28
X^4	5	56	28
X^5	1	44	20
X^6	0	43	18
X^7	1	27	24
X^8	0	32	22

X^0	4	128	65
X^1	4	133	71
X^2	4	123	61
X^3	4	116	59
X^4	4	108	55
X^5	3	94	48
X^6	3	65	31
X^7	3	34	31
X^8	0	54	31

X^0	2	104	91
X^1	1	102	90
X^2	1	101	90
X^3	1	100	90
X^4	2	106	97
X^5	1	97	96
X^6	1	99	84
X^7	1	67	66
X^8	0	97	76

X^0	5	218	106
X^1	5	217	103
X^2	6	219	110
X^3	3	214	106
X^4	1	204	97
X^5	1	201	101
X^6	1	204	97
X^7	0	110	101
X^8	1	122	101

X^0	1	58	27
X^1	1	62	26
X^2	2	63	29
X^3	1	57	24
X^4	1	53	31
X^5	3	52	35
X^6	2	41	30
X^7	2	41	30
X^8	1	29	8

X^0	2	33	8
X^1	2	34	14
X^2	2	33	14
X^3	3	31	14
X^4	1	30	13
X^5	1	29	8
X^6	1	27	10
X^7	0	23	7
X^8	0	7	0

X^0	2	122	62
X^1	2	122	61
X^2	2	100	54
X^3	4	74	42
X^4	2	57	32
X^5	1	47	22
X^6	1	50	32
X^7	1	51	28
X^8	1	64	27

X^0	2	287	138
X^1	2	290	141
X^2	1	287	140
X^3	1	283	139
X^4	1	257	140
X^5	1	231	118
X^6	1	208	95
X^7	0	120	97
X^8	0	144	107

X^0	2	149	106
X^1	3	151	111
X^2	5	146	107
X^3	3	136	101
X^4	1	134	102
X^5	11	136	104
X^6	1	137	102
X^7	8	107	101
X^8	0	142	105

X^0	3	75	34
X^1	2	71	34
X^2	2	60	34
X^3	2	44	20
X^4	2	40	15
X^5	2	33	8
X^6	2	22	2
X^7	2	28	5
X^8	4	41	16

X^0	3	111	60
X^1	3	110	59
X^2	3	108	53
X^3	2	108	57
X^4	2	108	58
X^5	2	108	59
X^6	1	105	46
X^7	2	76	74
X^8	2	69	57

X^0	3	18	11
X^1	2	21	7
X^2	6	21	15
X^3	2	12	2
X^4	0	12	5
X^5	0	9	2
X^6	0	1	0
X^7	0	2	0
X^8	0	11	5

X^0	4	73	45
X^1	6	75	43
X^2	2	73	45
X^3	4	73	45
X^4	3	57	30
X^5	2	57	30
X^6	3	48	22
X^7	2	22	2
X^8	3	48	21

X^0	2	144	81
X^1	2	152	84
X^2	2	149	81
X^3	1	147	84
X^4	2	137	85
X^5	1	132	76
X^6	2	145	85
X^7	1	80	76
X^8	0	105	72

X^0	2	169	94
X^1	2	170	96
X^2	2	170	91
X^3	2	169	93
X^4	1	165	65
X^5	1	135	69
X^6	0	136	69
X^7	0	79	69
X^8	0	122	61

X^0	2	521	246
X^1	2	521	249
X^2	3	521	249
X^3	2	516	249
X^4	2	505	251
X^5	2	461	240
X^6	1	419	200
X^7	1	214	179
X^8	0	263	205

X^0	2	35	16
X^1	5	39	21
X^2	6	33	16
X^3	2	20	10
X^4	2	13	11
X^5	1	13	11
X^6	2	12	8
X^7	0	0	0
X^8	2	12	8

